step,algo,q_type,exp_type,env_action,reference_action,alt_action,match,summary,reward_resource,reward_network,reward_security,best_q,alt_q,delta,q_a0_scalar,q_a1_scalar,q_a2_scalar,q_a3_scalar,q_a4_scalar,q_a5_scalar,q_a6_scalar,q_a7_scalar,q_a8_scalar,q_a9_scalar,q_a10_scalar,q_a11_scalar,feat_vim0_cpu,feat_vim0_ram,feat_vim1_cpu,feat_vim1_ram,feat_max_apt_score,feat_mean_apt_score,feat_max_dataleak_score,feat_mean_dataleak_score,feat_max_dos_score,feat_mean_dos_score,feat_mean_security_penalty,feat_max_security_penalty,feat_security_penalty_cumul,feat_mean_network_penalty,feat_max_network_penalty,feat_mean_mtd_overhead,feat_min_remaining_mig,feat_mean_remaining_mig,feat_min_remaining_reinst,feat_mean_remaining_reinst,feat_total_ues,feat_nb_resources
11,DQN,Scalar,SingleObjective_RDX,4,9,9,0,Action 4 was executed; the highest-Q action (action 9) was not chosen (possible cause: exploration or policy not converged). Q-value of action 4 vs highest-Q action (action 9): -7.1249. [DQN: single-objective algorithm. q_a{i}_scalar columns contain per-action Q values for SHAP. Reward decomposition not applicable.],-0.061658095,-0.110541848,-18.09140784,28.569257736206055,35.69411849975586,-7.124860764,-49.71575928,15.888337135314941,-40.11326218,10.92798137664795,28.569257736206055,-10.64735889,-24.22455025,-12.70874405,-6.657494545,35.69411849975586,35.40498352050781,-12.6121788,20,190.625,20,100.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7988955974578857,4.578125,30.78710938,0.009392874,0.01272583,0.045532227,143,278,0,1026.857177734375,34,7
12,DQN,Scalar,SingleObjective_RDX,9,10,10,0,Action 9 was executed; the highest-Q action (action 10) was not chosen (possible cause: exploration or policy not converged). Q-value of action 9 vs highest-Q action (action 10): -0.1706. [DQN: single-objective algorithm. q_a{i}_scalar columns contain per-action Q values for SHAP. Reward decomposition not applicable.],-0.061658095,-0.113895688,-18.09038335,37.39110565185547,37.56171798706055,-0.170612335,-49.45963287,16.06566619873047,-39.8049202,10.205662727355957,28.75579261779785,-9.860009193,-24.55886078,-13.69546032,-7.164950848,37.39110565185547,37.56171798706055,-10.82406998,20,190.625,20,100.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7988955974578857,4.578125,33.5859375,0.015972683,0.061065674,0.045532227,143,278,0,1026.7142333984375,34,7
13,DQN,Scalar,SingleObjective_RDX,5,9,9,0,Action 5 was executed; the highest-Q action (action 9) was not chosen (possible cause: exploration or policy not converged). Q-value of action 5 vs highest-Q action (action 9): -45.9786. [DQN: single-objective algorithm. q_a{i}_scalar columns contain per-action Q values for SHAP. Reward decomposition not applicable.],-0.119734256,-1.867209491,-18.09136428,-10.76550865,35.21308135986328,-45.97859192,-49.12292862,17.333152770996094,-40.58976364,14.960920333862305,27.890382766723633,-10.76550865,-23.73716927,-12.51682949,-10.36973572,35.21308135986328,31.31451988220215,-7.763691902,22,192.625,20,100.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,36.38476563,0.016397748,0.056274414,0.054617744,143,277.8571472167969,0,1026.7142333984375,34,7
14,DQN,Scalar,SingleObjective_RDX,11,9,9,0,Action 11 was executed; the highest-Q action (action 9) was not chosen (possible cause: exploration or policy not converged). Q-value of action 11 vs highest-Q action (action 9): -44.8348. [DQN: single-objective algorithm. q_a{i}_scalar columns contain per-action Q values for SHAP. Reward decomposition not applicable.],-0.227236725,-1.867046695,-18.08913285,-9.22297287,35.61185836791992,-44.83483124,-49.47310257,17.411399841308594,-41.30101013,14.634770393371582,27.537281036376953,-10.40989208,-23.921772,-13.18376827,-9.174258232,35.61185836791992,32.08490753173828,-9.22297287,20,190.625,20,100.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,39.18359375,0.7806794047355652,5.41015625,0.063703261,143,277.71429443359375,0,1026.7142333984375,36,7
15,DQN,Scalar,SingleObjective_RDX,5,9,9,0,Action 5 was executed; the highest-Q action (action 9) was not chosen (possible cause: exploration or policy not converged). Q-value of action 5 vs highest-Q action (action 9): -47.7023. [DQN: single-objective algorithm. q_a{i}_scalar columns contain per-action Q values for SHAP. Reward decomposition not applicable.],-20.17523679,-22.48988757,-39.59011372,-11.44368458,36.25865936279297,-47.70234299,-48.70749283,18.003915786743164,-41.70182419,13.878957748413086,31.26200294494629,-11.44368458,-24.49816322,-15.01209927,-9.515348434,36.25865936279297,33.39672088623047,-7.958432198,20,190.625,20,100.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,41.98242188,0.7805426716804504,5.41015625,0.081978932,143,277.5714416503906,0,1026.7142333984375,36,7
16,DQN,Scalar,SingleObjective_RDX,3,9,9,0,Action 3 was executed; the highest-Q action (action 9) was not chosen (possible cause: exploration or policy not converged). Q-value of action 3 vs highest-Q action (action 9): -22.8860. [DQN: single-objective algorithm. q_a{i}_scalar columns contain per-action Q values for SHAP. Reward decomposition not applicable.],-0.227236725,-2.474332259,-18.09109463,13.262322425842285,36.14833450317383,-22.88601303,-49.16278076,17.393522262573242,-41.14628601,13.262322425842285,30.654254913330078,-11.5927124,-24.54686356,-14.29214764,-9.215316772,36.14833450317383,34.191619873046875,-8.598041534,20,190.625,22,102.9375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,44.78125,1.5794497728347778,5.41015625,0.081978932,143,277.5714416503906,0,1026.7142333984375,37,7
17,DQN,Scalar,SingleObjective_RDX,9,9,10,1,Action 9 was executed and is the highest-Q action (action 9). Q-value vs next-best action 10: +0.3671. [DQN: single-objective algorithm. q_a{i}_scalar columns contain per-action Q values for SHAP. Reward decomposition not applicable.],-20.12038382,-22.48987874,-39.59207559,37.20278549194336,36.835716247558594,0.3670692443847656,-49.14374542,16.60904312133789,-40.86772537,11.442378044128418,30.33143424987793,-10.62415409,-24.95098877,-14.70217037,-8.696436882,37.20278549194336,36.835716247558594,-8.896114349,20,190.625,20,100.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,47.58007813,1.5527021884918213,5.41015625,0.081978932,143,277.4285583496094,0,1026.7142333984375,37,7
18,DQN,Scalar,SingleObjective_RDX,9,9,10,1,Action 9 was executed and is the highest-Q action (action 9). Q-value vs next-best action 10: +1.2085. [DQN: single-objective algorithm. q_a{i}_scalar columns contain per-action Q values for SHAP. Reward decomposition not applicable.],-0.061658095,-1.867643267,-18.09205401,36.751930236816406,35.54341125488281,1.2085189819335938,-49.60435486,16.746261596679688,-40.77799606,11.10440444946289,29.62047768,-10.75398254,-24.44594193,-13.58496094,-7.306990147,36.751930236816406,35.54341125488281,-11.61824989,24,194.625,18,98.8125,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,50.37890625,1.579377293586731,5.41015625,0.081978932,143,277.4285583496094,0,1026.7142333984375,37,7
19,DQN,Scalar,SingleObjective_RDX,10,9,9,0,Action 10 was executed; the highest-Q action (action 9) was not chosen (possible cause: exploration or policy not converged). Q-value of action 10 vs highest-Q action (action 9): -1.7489. [DQN: single-objective algorithm. q_a{i}_scalar columns contain per-action Q values for SHAP. Reward decomposition not applicable.],-0.061658095,-1.867686051,-18.09040668,34.27035140991211,36.01926040649414,-1.748908997,-49.51409531,16.681621551513672,-39.75760651,12.619089126586914,28.011808395385742,-10.5158596,-23.96584129,-12.73332119,-8.036346436,36.01926040649414,34.27035140991211,-10.02591896,20,186.5,22,106.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,53.17773438,0.7810440063476562,5.41015625,0.081978932,142,277.28570556640625,0,1026.7142333984375,37,7
20,DQN,Scalar,SingleObjective_RDX,10,9,9,0,Action 10 was executed; the highest-Q action (action 9) was not chosen (possible cause: exploration or policy not converged). Q-value of action 10 vs highest-Q action (action 9): -1.4487. [DQN: single-objective algorithm. q_a{i}_scalar columns contain per-action Q values for SHAP. Reward decomposition not applicable.],-20.06165809,-21.8679803,-39.59138761,35.53970718383789,36.98840332,-1.448696136,-50.38907623,14.976004600524902,-38.17088318,11.473160743713379,26.298131942749023,-10.61197376,-24.5041275,-12.6760149,-7.483291626,36.98840332,35.53970718383789,-10.75868225,18,184.5,24,108.9375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7988955974578857,4.58203125,55.9765625,0.7810799479484558,5.41015625,0.081978932,142,277.1428527832031,0,1026.7142333984375,38,7
21,DQN,Scalar,SingleObjective_RDX,0,9,9,0,Action 0 was executed; the highest-Q action (action 9) was not chosen (possible cause: exploration or policy not converged). Q-value of action 0 vs highest-Q action (action 9): -87.0497. [DQN: single-objective algorithm. q_a{i}_scalar columns contain per-action Q values for SHAP. Reward decomposition not applicable.],-10,-11.86811444,-29.59236858,-50.20293427,36.846805572509766,-87.04974365,-50.20293427,15.581197738647461,-38.40464401,11.467548370361328,26.901918411254883,-10.52720165,-24.33553886,-12.78639412,-7.170855999,36.846805572509766,35.776607513427734,-10.99679184,18,184.5,24,108.9375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.58203125,58.77539063,0.7813273668289185,5.41015625,0.081978932,142,277.1428527832031,0,1026.7142333984375,38,7
22,DQN,Scalar,SingleObjective_RDX,6,9,9,0,Action 6 was executed; the highest-Q action (action 9) was not chosen (possible cause: exploration or policy not converged). Q-value of action 6 vs highest-Q action (action 9): -60.6646. [DQN: single-objective algorithm. q_a{i}_scalar columns contain per-action Q values for SHAP. Reward decomposition not applicable.],-0.061658095,-0.074081678,-18.0933496,-24.09316635,36.571407318115234,-60.66457367,-49.71128082,16.360872268676758,-39.21191788,11.336496353149414,28.16744041442871,-10.40799522,-24.09316635,-12.87359619,-6.874448299,36.571407318115234,35.910797119140625,-11.29762936,20,186.5,22,106.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.58203125,61.57421875,0.7814401984214783,5.41015625,0.081978932,142,277.1428527832031,0,1026.7142333984375,39,7
23,DQN,Scalar,SingleObjective_RDX,3,9,9,0,Action 3 was executed; the highest-Q action (action 9) was not chosen (possible cause: exploration or policy not converged). Q-value of action 3 vs highest-Q action (action 9): -24.8709. [DQN: single-objective algorithm. q_a{i}_scalar columns contain per-action Q values for SHAP. Reward decomposition not applicable.],-0.061658095,-0.117101583,-18.09433067,11.512886047363281,36.38374328613281,-24.87085724,-49.71459198,16.51612091064453,-39.50767517,11.512886047363281,28.00963592529297,-10.38734627,-23.95153046,-13.28443241,-6.647713184,36.38374328613281,35.74110794067383,-11.69333649,18,184.5,22,106.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.58203125,64.37304688,0.009986333,0.012817383,0.081978932,142,277.1428527832031,0,1026.5714111328125,40,7
24,DQN,Scalar,SingleObjective_RDX,2,10,10,0,Action 2 was executed; the highest-Q action (action 10) was not chosen (possible cause: exploration or policy not converged). Q-value of action 2 vs highest-Q action (action 10): -77.8900. [DQN: single-objective algorithm. q_a{i}_scalar columns contain per-action Q values for SHAP. Reward decomposition not applicable.],-0.119734256,-0.073251369,-18.09297197,-39.27613449,38.613914489746094,-77.89004517,-49.48217392,15.736566543579102,-39.27613449,9.995552062988281,28.55639076,-9.660720825,-24.70322418,-13.89522648,-7.191551685,37.65618896484375,38.613914489746094,-10.22932053,18,184.5,22,106.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.58203125,67.171875,0.016918182373046875,0.06036377,0.081978932,142,277,0,1026.5714111328125,40,7
25,DQN,Scalar,SingleObjective_RDX,2,10,10,0,Action 2 was executed; the highest-Q action (action 10) was not chosen (possible cause: exploration or policy not converged). Q-value of action 2 vs highest-Q action (action 10): -76.8720. [DQN: single-objective algorithm. q_a{i}_scalar columns contain per-action Q values for SHAP. Reward decomposition not applicable.],-20,-20.27464233,-39.59395302,-39.5291481,37.34283447265625,-76.87197876,-49.64370346,15.384634017944336,-39.5291481,10.431843757629395,28.381134033203125,-10.16723061,-24.60435486,-13.21238995,-6.723188877,36.30838394165039,37.34283447265625,-11.50887108,16,182.5,22,106.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.58203125,69.97070313,0.009870256,0.012580872,0.081978932,142,277,0,1026.4285888671875,40,7
26,DQN,Scalar,SingleObjective_RDX,9,9,10,1,Action 9 was executed and is the highest-Q action (action 9). Q-value vs next-best action 10: +0.5055. [DQN: single-objective algorithm. q_a{i}_scalar columns contain per-action Q values for SHAP. Reward decomposition not applicable.],-0.061658095,-0.076848289,-18.09359726,36.478092193603516,35.97260665893555,0.5054855346679688,-49.68140411,16.339370727539062,-39.05633545,11.448352813720703,28.140844345092773,-10.54066753,-24.0754509,-12.83761501,-6.856904507,36.478092193603516,35.97260665893555,-11.16398144,18,184.5,24,108.9375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.58203125,72.76953125,0.044383459,0.194580078,0.081978932,142,277,0,1026.4285888671875,42,7
27,DQN,Scalar,SingleObjective_RDX,9,9,10,1,Action 9 was executed and is the highest-Q action (action 9). Q-value vs next-best action 10: +1.8854. [DQN: single-objective algorithm. q_a{i}_scalar columns contain per-action Q values for SHAP. Reward decomposition not applicable.],-20.06165809,-21.86894665,-39.59457834,35.84527587890625,33.95982742,1.8854484558105469,-49.4970932,16.663610458374023,-39.47906876,13.313643455505371,27.644758224487305,-10.59324741,-23.94773102,-12.61182499,-8.410367012,35.84527587890625,33.95982742,-9.244742393,18,184.5,24,108.9375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.58203125,75.56835938,0.010373796336352825,0.012573242,0.081978932,141,276.8571472167969,0,1026.4285888671875,42,7
28,DQN,Scalar,SingleObjective_RDX,2,9,9,0,Action 2 was executed; the highest-Q action (action 9) was not chosen (possible cause: exploration or policy not converged). Q-value of action 2 vs highest-Q action (action 9): -75.6157. [DQN: single-objective algorithm. q_a{i}_scalar columns contain per-action Q values for SHAP. Reward decomposition not applicable.],-0.061658095,-1.867914201,-18.0948911,-39.3668251,36.24887466430664,-75.61569977,-49.52588654,16.512086868286133,-39.3668251,12.639406204223633,27.814619064331055,-10.51558685,-24.06159782,-12.67398739,-7.780035496,36.24887466430664,34.69020080566406,-10.00363445,18,184.5,24,108.9375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.58203125,78.3671875,0.7821911573410034,5.4140625,0.081978932,141,276.8571472167969,0,1026.4285888671875,42,7
29,DQN,Scalar,SingleObjective_RDX,4,9,9,0,Action 4 was executed; the highest-Q action (action 9) was not chosen (possible cause: exploration or policy not converged). Q-value of action 4 vs highest-Q action (action 9): -7.5260. [DQN: single-objective algorithm. q_a{i}_scalar columns contain per-action Q values for SHAP. Reward decomposition not applicable.],-0.061658095,-0.121707008,-18.09587224,28.239952087402344,35.76598358154297,-7.526031494,-49.73673248,15.692253112792969,-39.53693008,11.204611778259277,28.239952087402344,-10.65400505,-24.26464462,-12.60516739,-6.632540226,35.76598358154297,35.68273926,-12.10656261,18,184.5,22,106.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.58203125,81.16601563,0.7812718152999878,5.41015625,0.081978932,141,276.8571472167969,0,1026.2857666015625,42,7
30,DQN,Scalar,SingleObjective_RDX,8,10,10,0,Action 8 was executed; the highest-Q action (action 10) was not chosen (possible cause: exploration or policy not converged). Q-value of action 8 vs highest-Q action (action 10): -44.8973. [DQN: single-objective algorithm. q_a{i}_scalar columns contain per-action Q values for SHAP. Reward decomposition not applicable.],-0.120383817,-0.122738996,-18.09042651,-7.041086197,37.85618973,-44.89727783,-49.53559875,15.880062103271484,-39.2526741,10.355396270751953,28.411699295043945,-9.8289814,-24.55941391,-13.60678196,-7.041086197,37.32463073730469,37.85618973,-10.47081184,18,184.5,22,106.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.58203125,83.96484375,0.017648424953222275,0.064697266,0.081978932,141,276.8571472167969,0,1026.142822265625,43,7
31,DQN,Scalar,SingleObjective_RDX,1,10,10,0,Action 1 was executed; the highest-Q action (action 10) was not chosen (possible cause: exploration or policy not converged). Q-value of action 1 vs highest-Q action (action 10): -21.4114. [DQN: single-objective algorithm. q_a{i}_scalar columns contain per-action Q values for SHAP. Reward decomposition not applicable.],-0.175236786,-0.073461935,-18.09090618,16.733016967773438,38.14442062,-21.41140366,-48.25193024,16.733016967773438,-40.03702927,9.952659606933594,29.890275955200195,-10.63382435,-24.83207512,-13.7838974,-6.35835886,36.68342971801758,38.14442062,-9.93075943,20,186.5,18,98.75,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,86.76367188,0.017702375,0.057189941,0.081978932,141,276.8571472167969,0,1026,43,7
32,DQN,Scalar,SingleObjective_RDX,7,10,10,0,Action 7 was executed; the highest-Q action (action 10) was not chosen (possible cause: exploration or policy not converged). Q-value of action 7 vs highest-Q action (action 10): -50.4005. [DQN: single-objective algorithm. q_a{i}_scalar columns contain per-action Q values for SHAP. Reward decomposition not applicable.],-20.12038382,-20.23556909,-39.59188713,-13.30118275,37.09933853149414,-50.40052032,-48.72373581,16.10952377319336,-40.46406174,10.216123580932617,29.595016479492188,-10.61892605,-24.873209,-13.30118275,-6.249781132,35.666038513183594,37.09933853149414,-11.33888245,20,186.5,16,96.6875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.58203125,89.5625,0.009899684,0.01335144,0.081978932,141,276.71429443359375,0,1026,41,7
33,DQN,Scalar,SingleObjective_RDX,5,9,9,0,Action 5 was executed; the highest-Q action (action 9) was not chosen (possible cause: exploration or policy not converged). Q-value of action 5 vs highest-Q action (action 9): -47.0015. [DQN: single-objective algorithm. q_a{i}_scalar columns contain per-action Q values for SHAP. Reward decomposition not applicable.],-0.061658095,-0.121191797,-18.09286813,-10.34621429,36.655250549316406,-47.00146484,-48.89718246,16.689796447753906,-39.95611954,10.60383129119873,29.190536499023438,-10.34621429,-24.45056534,-13.30707455,-6.724095345,36.655250549316406,36.39295959472656,-10.96247959,22,188.5,16,96.6875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.58203125,92.36132813,0.037125725,0.202392578,0.081978932,141,276.71429443359375,0,1026,42,7
