step,algo,q_type,exp_type,env_action,reference_action,alt_action,match,summary,reward_resource,reward_network,reward_security,best_q,alt_q,delta,feat_vim0_cpu,feat_vim0_ram,feat_vim1_cpu,feat_vim1_ram,feat_max_apt_score,feat_mean_apt_score,feat_max_dataleak_score,feat_mean_dataleak_score,feat_max_dos_score,feat_mean_dos_score,feat_mean_security_penalty,feat_max_security_penalty,feat_security_penalty_cumul,feat_mean_network_penalty,feat_max_network_penalty,feat_mean_mtd_overhead,feat_min_remaining_mig,feat_mean_remaining_mig,feat_min_remaining_reinst,feat_mean_remaining_reinst,feat_steps_since_last_mtd,feat_total_ues,feat_nb_resources
11,DQN,Scalar,SingleObjective_RDX,4,4,1,1,Action 4 was executed and is the highest-Q action (action 4). Q-value vs next-best action 1: +43.2538. [DQN: single-objective algorithm. Reward decomposition not applicable.],-0.061658094951997804,-0.11129843294610893,-18.09140783509044,84.86402893066406,41.61026382446289,43.25376510620117,20.0,190.625,20.0,100.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7988955974578857,4.578125,30.787109375,0.7808586955070496,5.41015625,0.0455322265625,143.0,278.0,0.0,1026.857177734375,0.0,34.0,7.0
12,DQN,Scalar,SingleObjective_RDX,9,4,4,0,Action 9 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 9 vs highest-Q action (action 4): -89.0343. [DQN: single-objective algorithm. Reward decomposition not applicable.],-0.061658094951997804,-0.11309677932081377,-18.090383351688928,-4.889617443084717,84.14463806152344,-89.03425598144531,20.0,190.625,20.0,100.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7988955974578857,4.578125,33.5859375,0.0161470677703619,0.0660400390625,0.0455322265625,143.0,278.0,0.0,1026.7142333984375,0.0,34.0,7.0
13,DQN,Scalar,SingleObjective_RDX,5,4,4,0,Action 5 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 5 vs highest-Q action (action 4): -115.1945. [DQN: single-objective algorithm. Reward decomposition not applicable.],-0.11973425578764521,-1.8674221881141342,-18.09136427787037,-32.071292877197266,83.12322235107422,-115.19451904296875,22.0,192.625,20.0,100.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,36.384765625,0.01628984697163105,0.056915283203125,0.0546177439391613,143.0,277.8571472167969,0.0,1026.7142333984375,0.0,34.0,7.0
14,DQN,Scalar,SingleObjective_RDX,11,4,4,0,Action 11 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 11 vs highest-Q action (action 4): -100.6670. [DQN: single-objective algorithm. Reward decomposition not applicable.],-0.22723672533616093,-1.8676828101122236,-18.089132847742956,-15.901182174682617,84.76582336425781,-100.66700744628906,20.0,190.625,20.0,100.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,39.18359375,0.7808581590652466,5.41015625,0.0637032613158226,143.0,277.71429443359375,0.0,1026.7142333984375,0.0,35.0,7.0
15,DQN,Scalar,SingleObjective_RDX,5,4,4,0,Action 5 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 5 vs highest-Q action (action 4): -116.7743. [DQN: single-objective algorithm. Reward decomposition not applicable.],-20.0,-22.489493207109458,-39.590113715140546,-32.45771408081055,84.31654357910156,-116.77426147460938,20.0,190.625,20.0,100.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,41.982421875,0.7810772657394409,5.41015625,0.0819789320230484,143.0,277.5714416503906,0.0,1026.7142333984375,1.0,35.0,7.0
16,DQN,Scalar,SingleObjective_RDX,3,4,4,0,Action 3 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 3 vs highest-Q action (action 4): -123.0021. [DQN: single-objective algorithm. Reward decomposition not applicable.],-0.061658094951997804,-0.06960623924668422,-18.09109462864661,-38.44078063964844,84.56132507324219,-123.00210571289062,18.0,184.5,24.0,109.0,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,44.78125,1.5787419080734253,5.40625,0.0819789320230484,143.0,277.5714416503906,0.0,1026.7142333984375,0.0,35.0,7.0
17,DQN,Scalar,SingleObjective_RDX,9,4,4,0,Action 9 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 9 vs highest-Q action (action 4): -89.1001. [DQN: single-objective algorithm. Reward decomposition not applicable.],-0.061658094951997804,-0.22950632252506656,-18.091240118346384,-4.835378170013428,84.26475524902344,-89.10013580322266,18.0,184.5,22.0,106.9375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,47.580078125,0.0093618119135499,0.0142364501953125,0.0819789320230484,143.0,277.4285583496094,0.0,1026.7142333984375,0.0,35.0,7.0
18,DQN,Scalar,SingleObjective_RDX,9,4,4,0,Action 9 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 9 vs highest-Q action (action 4): -88.8193. [DQN: single-objective algorithm. Reward decomposition not applicable.],-20.0,-21.867153774301666,-39.5922210847975,-4.817813396453857,84.00151062011719,-88.81932067871094,20.0,186.5,22.0,106.9375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,50.37890625,0.0360434390604496,0.195556640625,0.0819789320230484,142.0,277.28570556640625,0.0,1026.7142333984375,1.0,35.0,7.0
19,DQN,Scalar,SingleObjective_RDX,10,4,4,0,Action 10 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 10 vs highest-Q action (action 4): -78.2668. [DQN: single-objective algorithm. Reward decomposition not applicable.],-0.061658094951997804,-0.06710204691839189,-18.090573768043804,6.290188312530518,84.55702209472656,-78.26683044433594,18.0,184.5,24.0,109.0,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,53.177734375,0.7805818915367126,5.40625,0.0819789320230484,142.0,277.28570556640625,0.0,1026.7142333984375,0.0,35.0,7.0
20,DQN,Scalar,SingleObjective_RDX,10,4,4,0,Action 10 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 10 vs highest-Q action (action 4): -78.5201. [DQN: single-objective algorithm. Reward decomposition not applicable.],-20.0,-21.866401737706983,-39.59155470316906,5.922007083892822,84.44206237792969,-78.52005767822266,18.0,184.5,24.0,109.0,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7988955974578857,4.58203125,55.9765625,0.009013584814965725,0.0138397216796875,0.0819789320230484,142.0,277.1428527832031,0.0,1026.7142333984375,1.0,33.0,7.0
21,DQN,Scalar,SingleObjective_RDX,0,4,4,0,Action 0 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 0 vs highest-Q action (action 4): -71.3708. [DQN: single-objective algorithm. Reward decomposition not applicable.],-10.0,-10.065767052377785,-29.592535684404805,13.121131896972656,84.491943359375,-71.37081146240234,20.0,186.5,22.0,106.9375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.58203125,58.775390625,0.7800009846687317,5.41015625,0.0819789320230484,142.0,277.1428527832031,0.0,1026.7142333984375,2.0,32.0,7.0
22,DQN,Scalar,SingleObjective_RDX,6,4,4,0,Action 6 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 6 vs highest-Q action (action 4): -92.8246. [DQN: single-objective algorithm. Reward decomposition not applicable.],-0.061658094951997804,-0.06637587388066893,-18.09351671175243,-8.336320877075195,84.48829650878906,-92.82461547851562,20.0,186.5,22.0,106.9375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.58203125,61.57421875,0.00882829912006855,0.01346588134765625,0.0819789320230484,142.0,277.1428527832031,0.0,1026.7142333984375,0.0,33.0,7.0
23,DQN,Scalar,SingleObjective_RDX,3,4,4,0,Action 3 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 3 vs highest-Q action (action 4): -124.4518. [DQN: single-objective algorithm. Reward decomposition not applicable.],-0.061658094951997804,-0.11225699875954873,-18.094497785213306,-39.044734954833984,85.40704345703125,-124.4517822265625,18.0,184.5,22.0,106.9375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.58203125,64.373046875,0.00891276728361845,0.01214599609375,0.0819789320230484,142.0,277.1428527832031,0.0,1026.5714111328125,0.0,34.0,7.0
24,DQN,Scalar,SingleObjective_RDX,2,4,4,0,Action 2 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 2 vs highest-Q action (action 4): -134.6702. [DQN: single-objective algorithm. Reward decomposition not applicable.],-0.11973425578764521,-0.06973148007749333,-18.09313909409641,-50.4379768371582,84.23223114013672,-134.6702117919922,18.0,184.5,22.0,106.9375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.58203125,67.171875,0.01622445322573185,0.061279296875,0.0819789320230484,142.0,277.0,0.0,1026.5714111328125,0.0,35.0,7.0
25,DQN,Scalar,SingleObjective_RDX,2,4,4,0,Action 2 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 2 vs highest-Q action (action 4): -135.8932. [DQN: single-objective algorithm. Reward decomposition not applicable.],-20.0,-20.265670829293033,-39.59412014980027,-51.13494873046875,84.75828552246094,-135.8932342529297,16.0,182.5,22.0,106.9375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.58203125,69.970703125,0.009379250928759575,0.013946533203125,0.0819789320230484,142.0,277.0,0.0,1026.4285888671875,1.0,35.0,7.0
26,DQN,Scalar,SingleObjective_RDX,9,4,4,0,Action 9 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 9 vs highest-Q action (action 4): -88.8221. [DQN: single-objective algorithm. Reward decomposition not applicable.],-0.061658094951997804,-0.06627770193152883,-18.093597264368483,-4.280463695526123,84.54167938232422,-88.8221435546875,18.0,184.5,24.0,109.0,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.58203125,72.76953125,0.042866844683885574,0.19482421875,0.0819789320230484,142.0,277.0,0.0,1026.4285888671875,0.0,34.0,7.0
27,DQN,Scalar,SingleObjective_RDX,9,4,4,0,Action 9 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 9 vs highest-Q action (action 4): -88.8069. [DQN: single-objective algorithm. Reward decomposition not applicable.],-20.061658094951998,-21.867571308516226,-39.59457834160086,-5.189145565032959,83.61772155761719,-88.80686950683594,18.0,184.5,24.0,109.0,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.58203125,75.568359375,0.008899143896996975,0.01258087158203125,0.0819789320230484,141.0,276.8571472167969,0.0,1026.4285888671875,1.0,35.0,7.0
28,DQN,Scalar,SingleObjective_RDX,2,4,4,0,Action 2 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 2 vs highest-Q action (action 4): -134.2495. [DQN: single-objective algorithm. Reward decomposition not applicable.],-0.11973425578764521,-1.8674896192240562,-18.0948911047255,-50.265357971191406,83.98418426513672,-134.24954223632812,18.0,184.5,24.0,109.0,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.58203125,78.3671875,0.7809835076332092,5.41015625,0.0819789320230484,141.0,276.8571472167969,0.0,1026.4285888671875,0.0,36.0,7.0
29,DQN,Scalar,SingleObjective_RDX,4,4,1,1,Action 4 was executed and is the highest-Q action (action 4). Q-value vs next-best action 1: +43.4172. [DQN: single-objective algorithm. Reward decomposition not applicable.],-0.061658094951997804,-1.8752151365005665,-18.095872242768422,84.71847534179688,41.30129623413086,43.417179107666016,16.0,182.5,24.0,109.0,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.58203125,81.166015625,0.780914843082428,5.41015625,0.0819789320230484,141.0,276.8571472167969,0.0,1026.2857666015625,0.0,36.0,7.0
30,DQN,Scalar,SingleObjective_RDX,8,4,4,0,Action 8 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 8 vs highest-Q action (action 4): -118.7993. [DQN: single-objective algorithm. Reward decomposition not applicable.],-0.12038381735644083,-0.11561784474281755,-18.090426507598373,-34.506019592285156,84.29331970214844,-118.7993392944336,18.0,184.5,22.0,106.9375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.58203125,83.96484375,0.7882657647132874,5.41015625,0.0819789320230484,141.0,276.8571472167969,0.0,1026.142822265625,0.0,37.0,7.0
31,DQN,Scalar,SingleObjective_RDX,1,4,4,0,Action 1 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 1 vs highest-Q action (action 4): -46.4442. [DQN: single-objective algorithm. Reward decomposition not applicable.],-0.17523678589567607,-0.07067419652534518,-18.090906177416805,39.572181701660156,86.016357421875,-46.444175720214844,20.0,186.5,18.0,98.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,86.763671875,0.016671588644385338,0.05804443359375,0.0819789320230484,141.0,276.8571472167969,0.0,1026.0,0.0,37.0,7.0
32,DQN,Scalar,SingleObjective_RDX,7,4,4,0,Action 7 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 7 vs highest-Q action (action 4): -123.4090. [DQN: single-objective algorithm. Reward decomposition not applicable.],-20.12038381735644,-20.230808800234794,-39.59188712816491,-37.529205322265625,85.87982940673828,-123.4090347290039,20.0,186.5,16.0,96.8125,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.58203125,89.5625,0.009510585106909275,0.01462554931640625,0.0819789320230484,141.0,276.71429443359375,0.0,1026.0,1.0,37.0,7.0
33,DQN,Scalar,SingleObjective_RDX,5,4,4,0,Action 5 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 5 vs highest-Q action (action 4): -116.2725. [DQN: single-objective algorithm. Reward decomposition not applicable.],-0.061658094951997804,-0.11526012108163276,-18.092868125023987,-31.462995529174805,84.8095474243164,-116.27254486083984,22.0,188.5,16.0,96.8125,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.58203125,92.361328125,0.03633880615234375,0.201904296875,0.0819789320230484,141.0,276.71429443359375,0.0,1026.0,0.0,36.0,7.0
34,DQN,Scalar,SingleObjective_RDX,11,4,4,0,Action 11 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 11 vs highest-Q action (action 4): -102.3341. [DQN: single-objective algorithm. Reward decomposition not applicable.],-0.12038381735644083,-0.22912189171033331,-18.089259374440875,-17.140380859375,85.19367218017578,-102.33405303955078,22.0,188.5,18.0,102.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.58203125,95.16015625,0.016603197902441025,0.056793212890625,0.0819789320230484,141.0,276.5714416503906,0.0,1026.0,0.0,36.0,7.0
35,DQN,Scalar,SingleObjective_RDX,8,4,4,0,Action 8 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 8 vs highest-Q action (action 4): -119.8530. [DQN: single-objective algorithm. Reward decomposition not applicable.],-0.2278200991981116,-1.8671765330230794,-18.089093203885188,-36.19011306762695,83.66292572021484,-119.85304260253906,24.0,190.5,18.0,102.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7988955974578857,4.578125,97.958984375,0.03609003499150276,0.2039794921875,0.0819789320230484,141.0,276.4285583496094,0.0,1026.0,0.0,36.0,7.0
36,DQN,Scalar,SingleObjective_RDX,2,4,4,0,Action 2 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 2 vs highest-Q action (action 4): -136.2589. [DQN: single-objective algorithm. Reward decomposition not applicable.],-0.2772210521369139,-1.8672952119516453,-18.089238599497723,-50.967281341552734,85.29156494140625,-136.25885009765625,24.0,190.5,14.0,94.75,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7988955974578857,4.578125,100.7578125,0.7805503010749817,5.40234375,0.0819789320230484,141.0,276.4285583496094,0.0,1025.857177734375,0.0,35.0,7.0
37,DQN,Scalar,SingleObjective_RDX,10,4,4,0,Action 10 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 10 vs highest-Q action (action 4): -77.1206. [DQN: single-objective algorithm. Reward decomposition not applicable.],-0.324296006742763,-1.8677017264327571,-18.08683987357889,8.373432159423828,85.4939956665039,-77.12055969238281,24.0,190.5,12.0,92.6875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.578125,103.556640625,0.7806500196456909,5.40234375,0.0819789320230484,141.0,276.4285583496094,0.0,1025.7142333984375,0.0,35.0,7.0
38,DQN,Scalar,SingleObjective_RDX,9,4,4,0,Action 9 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 9 vs highest-Q action (action 4): -88.9232. [DQN: single-objective algorithm. Reward decomposition not applicable.],-0.2766658050376959,-1.9851516017899253,-18.085815175445276,-3.7647509574890137,85.15840911865234,-88.92315673828125,24.0,190.5,12.0,92.6875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,106.35546875,0.7809916734695435,5.40234375,0.0819789320230484,141.0,276.28570556640625,0.0,1025.7142333984375,0.0,36.0,7.0
39,DQN,Scalar,SingleObjective_RDX,2,4,4,0,Action 2 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 2 vs highest-Q action (action 4): -136.5358. [DQN: single-objective algorithm. Reward decomposition not applicable.],-20.119734255787645,-22.852096532348085,-39.58679588688818,-53.29726791381836,83.23854064941406,-136.5358123779297,24.0,190.5,16.0,100.75,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,109.154296875,0.8964609503746033,5.40234375,0.0819789320230484,140.0,276.1428527832031,0.0,1025.7142333984375,1.0,36.0,7.0
40,DQN,Scalar,SingleObjective_RDX,6,4,4,0,Action 6 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 6 vs highest-Q action (action 4): -92.9733. [DQN: single-objective algorithm. Reward decomposition not applicable.],-0.17462190577792255,-2.47456406156916,-18.08777664443487,-9.667581558227539,83.30574035644531,-92.97332000732422,28.0,198.625,14.0,94.75,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,111.953125,2.331526041030884,5.41015625,0.0819789320230484,140.0,276.1428527832031,0.0,1025.7142333984375,0.0,38.0,7.0
41,DQN,Scalar,SingleObjective_RDX,9,4,4,0,Action 9 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 9 vs highest-Q action (action 4): -91.0898. [DQN: single-objective algorithm. Reward decomposition not applicable.],-20.174621905777922,-22.474667754424814,-39.58875744808674,-5.826167583465576,85.26366424560547,-91.08982849121094,28.0,198.625,12.0,92.6875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,114.751953125,1.553059697151184,5.41015625,0.0819789320230484,140.0,276.1428527832031,0.0,1025.5714111328125,1.0,39.0,7.0
42,DQN,Scalar,SingleObjective_RDX,2,4,4,0,Action 2 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 2 vs highest-Q action (action 4): -135.4907. [DQN: single-objective algorithm. Reward decomposition not applicable.],-0.17462190577792255,-2.474385621093787,-18.088735710379716,-50.537967681884766,84.95271301269531,-135.4906768798828,28.0,198.625,12.0,92.6875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,117.55078125,1.5532196760177612,5.41015625,0.0819789320230484,140.0,276.1428527832031,0.0,1025.5714111328125,0.0,40.0,7.0
